世代交代数(学習回数):1000
交叉確率:0.950000
突然変異確率:0.050000
木の高さ制限:false
評価基準:DROW,同じ手を出せている
評価値が同じ場合、ノード数が少ない方を良い個体とするか:true
WIN,DROW,LOSE
14,23,13
12,23,15
13,24,13
8,26,16
14,22,14
12,26,12
10,23,17
13,24,13
10,26,14
11,26,13
14,23,13
19,24,7
15,24,11
8,26,16
15,26,9
14,25,11
16,23,11
12,25,13
12,26,12
15,23,12
19,25,6
9,31,10
13,22,15
11,28,11
12,26,12
10,24,16
11,24,15
9,24,17
13,25,12
14,25,11
7,23,20
13,27,10
9,25,16
11,26,13
11,22,17
14,26,10
11,28,11
18,24,8
12,25,13
11,26,13
6,27,17
14,23,13
12,27,11
4,31,15
9,25,16
14,24,12
9,23,18
10,26,14
10,24,16
11,26,13
13,22,15
13,23,14
15,26,9
15,22,13
13,26,11
10,31,9
14,24,12
15,23,12
16,23,11
14,24,12
13,23,14
14,22,14
16,24,10
13,25,12
15,22,13
16,22,12
11,25,14
12,24,14
10,26,14
11,25,14
12,26,12
13,26,11
12,24,14
15,22,13
11,23,16
13,26,11
14,24,12
7,35,8
9,24,17
10,25,15
10,27,13
12,24,14
14,22,14
10,25,15
9,28,13
10,26,14
11,23,16
11,28,11
19,23,8
10,24,16
10,24,16
7,28,15
9,26,15
16,23,11
12,24,14
12,26,12
17,29,4
11,24,15
13,26,11
10,26,14
12,23,15
18,25,7
9,26,15
12,26,12
17,23,10
11,25,14
14,23,13
10,24,16
6,31,13
10,29,11
10,28,12
11,24,15
11,25,14
14,25,11
9,26,15
10,23,17
12,25,13
12,24,14
13,25,12
0,50,0
17,33,0
15,27,8
13,26,11
13,26,11
15,25,10
14,25,11
9,28,13
12,27,11
7,32,11
9,25,16
11,25,14
12,25,13
16,23,11
16,23,11
14,25,11
12,23,15
13,27,10
9,27,14
11,29,10
16,24,10
14,23,13
14,22,14
12,24,14
10,26,14
11,24,15
12,25,13
15,21,14
11,26,13
14,24,12
11,25,14
14,22,14
14,25,11
15,27,8
8,26,16
13,24,13
11,21,18
13,26,11
15,27,8
13,24,13
11,30,9
16,23,11
18,25,7
15,25,10
10,31,9
13,27,10
13,29,8
6,34,10
15,28,7
8,28,14
10,25,15
10,25,15
11,26,13
14,27,9
12,26,12
10,29,11
14,24,12
12,26,12
13,27,10
10,25,15
8,34,8
14,22,14
11,23,16
13,24,13
12,25,13
12,25,13
10,27,13
12,25,13
12,24,14
11,28,11
11,27,12
14,22,14
10,24,16
14,23,13
14,25,11
13,24,13
13,27,10
11,23,16
13,24,13
17,23,10
12,25,13
10,28,12
14,25,11
7,32,11
14,27,9
9,27,14
16,21,13
14,24,12
12,27,11
3,43,4
12,22,16
15,21,14
13,25,12
15,29,6
12,24,14
15,22,13
11,23,16
14,27,9
15,22,13
7,25,18
11,26,13
11,24,15
12,25,13
6,36,8
9,22,19
13,25,12
13,23,14
5,36,9
10,27,13
13,22,15
10,25,15
16,25,9
16,20,14
13,25,12
12,22,16
16,20,14
10,25,15
11,26,13
11,25,14
13,24,13
12,26,12
12,26,12
16,23,11
12,26,12
13,24,13
15,25,10
12,27,11
7,30,13
15,24,11
13,25,12
11,24,15
13,21,16
9,24,17
13,25,12
11,25,14
12,24,14
11,27,12
12,25,13
5,29,16
14,21,15
14,25,11
12,23,15
12,24,14
11,27,12
12,26,12
8,23,19
8,26,16
15,24,11
14,25,11
14,24,12
12,25,13
13,24,13
14,23,13
13,25,12
15,24,11
14,29,7
8,27,15
15,23,12
8,26,16
12,27,11
13,22,15
11,26,13
11,25,14
14,26,10
15,26,9
12,25,13
12,24,14
14,25,11
12,24,14
9,24,17
15,24,11
13,24,13
12,25,13
11,25,14
14,24,12
9,29,12
11,29,10
11,26,13
17,24,9
8,26,16
13,29,8
8,25,17
8,35,7
11,22,17
13,24,13
11,23,16
14,23,13
8,28,14
14,23,13
10,27,13
19,23,8
14,25,11
12,23,15
9,26,15
16,21,13
12,23,15
4,33,13
19,22,9
14,26,10
11,22,17
10,29,11
15,18,17
9,25,16
14,25,11
10,22,18
14,21,15
16,27,7
15,22,13
16,23,11
8,27,15
18,25,7
10,27,13
12,24,14
12,28,10
16,26,8
14,24,12
0,50,0
14,25,11
11,26,13
15,25,10
14,24,12
14,26,10
11,25,14
9,28,13
10,26,14
14,26,10
11,27,12
12,28,10
9,26,15
10,26,14
12,27,11
11,27,12
14,26,10
14,25,11
12,26,12
10,25,15
9,25,16
16,23,11
11,25,14
13,26,11
10,28,12
14,24,12
10,27,13
12,29,9
11,26,13
12,23,15
14,21,15
16,23,11
17,21,12
0,48,2
14,23,13
14,25,11
10,26,14
9,25,16
13,22,15
14,24,12
12,27,11
15,24,11
12,23,15
